task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
cteach,91,"Instructing, training, or teaching people, individually or in groups","While LLMs could offer some support for training materials (E1) or through interactive training apps (E2), hands-on instruction and demonstrations remain crucial in these elementary occupations, limiting overall LLM impact (E0).",0.7,0.2,0.1,0.0
cspeech,91,Making speeches or presentations,"Formal speeches or presentations are rare in these roles, minimizing LLM applicability.",0.95,0.05,0.0,0.0
cpersuad,91,Persuading or influencing others,"Persuasion in these roles typically relies on practical demonstrations and direct communication, with limited scope for LLM assistance.",0.9,0.1,0.0,0.0
cteamwk,91,"Working with a team of people in elementary trades and related occupations, often involving coordinated physical tasks and communication in noisy environments.","Teamwork in this occupation relies heavily on direct, in-person communication and coordination, limiting the impact of LLMs.",0.9,0.05,0.05,0.0
clisten,91,"Listening carefully to colleagues in elementary trades, often in noisy environments with safety implications, requiring clear and direct communication.","Direct, real-time listening is crucial for safety and coordination in this occupation, with limited potential for LLM impact.",0.95,0.03,0.02,0.0
ccoop,91,"Cooperating with colleagues in elementary trades, involving shared physical tasks and direct communication for coordination and safety.","Cooperation in this occupation relies primarily on direct interaction and physical coordination, limiting the potential for significant LLM-driven time reduction.",0.9,0.05,0.05,0.0
cwrite,91,"Writing material such as forms, notices, or signs in the context of elementary trades and related occupations.","While LLMs could assist with generating simple notices or filling forms, many tasks involve handwritten signs or physical form completion, limiting LLM impact.",0.7,0.2,0.1,0.0
cwritesh,91,"Writing short documents (for example, short reports, letters, or emails) in the context of elementary trades and related occupations.","Short reports, letters, or emails are infrequent in these roles, and existing tools like pen and paper or basic computer access are often sufficient.",0.8,0.15,0.05,0.0
cwritelg,91,"Writing long documents with correct spelling and grammar (for example, long reports, manuals, articles, or books) in the context of elementary trades and related occupations.","Creating long, formal documents is extremely rare in these occupations, making LLM assistance highly unlikely.",0.95,0.05,0.0,0.0
cread,91,"Reading written information such as forms, notices or signs in the context of elementary trades and related occupations.","Reading short, simple texts like forms, notices, or signs is already quick and straightforward for most workers in these occupations, leaving minimal room for LLMs to offer substantial time savings.",0.9,0.05,0.05,0.0
cshort,91,"Reading short documents such as short reports, letters or emails in the context of elementary trades and related occupations.","While LLMs could offer summarization or key information extraction for short documents, the relatively low complexity and frequency of such tasks in these occupations limit the potential for significant time reduction.",0.7,0.15,0.15,0.0
clong,91,"Reading long documents such as long reports, manuals, articles or books in the context of elementary trades and related occupations.","LLMs could offer valuable summarization and information extraction capabilities for longer documents like manuals or reports, potentially saving significant time for workers in these occupations who need to access key information quickly.",0.5,0.25,0.25,0.0
canalyse,91,Analysing complex problems in depth,"Problem analysis in elementary trades is typically hands-on and experience-based, with limited scope for complex analysis where LLMs could offer significant time savings.",0.95,0.05,0.0,0.0
cfaults,91,Spotting problems or faults,"While primarily based on visual inspection and experience, some potential exists for LLM-powered diagnostic tools or image recognition to assist in identifying faults, though widespread adoption and significant time savings are unlikely in the near term.",0.85,0.05,0.1,0.0
ccause,91,Working out the cause of problems or faults,"Similar to 'spotting faults,' LLM-powered diagnostic tools could offer some assistance, but practical application and significant time savings are limited by the hands-on nature of these occupations.",0.8,0.1,0.1,0.0
csolutn,91,Thinking of solutions to problems,"While LLMs could potentially suggest solutions based on best practices or troubleshooting guides, the practical application of these solutions often requires hands-on skills and experience, limiting the potential for significant time savings.",0.8,0.15,0.05,0.0
cspecial,91,Specialist knowledge or understanding,"While LLMs could provide some access to specialized knowledge, much of the 'specialist knowledge' in these roles is tacit and experiential, learned through on-the-job training and not easily codified for LLMs.",0.7,0.2,0.1,0.0
